#Selection name: Partially_Includes_Tumor_Cells
#Area (µm^2): 4641531.53
Cell ID,Cluster,Transcripts,Area (µm^2)
blphggih-1,Cluster 1,0,76.03
blpgnenp-1,Cluster 2,0,74.54
blphjckj-1,Cluster 1,0,63.47
boglpghl-1,Cluster 2,0,72.06
bogjlnno-1,Cluster 2,0,36.41
boglmcck-1,Cluster 2,0,41.68
namdkjkb-1,Cluster 6,0,37.68
bogfkngd-1,Cluster 2,0,45.69
bmlimcmn-1,Cluster 2,0,83.65
bmjonnba-1,Cluster 2,0,105.00
nbpcddab-1,Cluster 5,0,84.50
bmljhaec-1,Cluster 2,0,89.07
ncabeogm-1,Cluster 3,0,24.43
ncandplp-1,Cluster 1,0,45.06
bmlipbip-1,Cluster 2,0,39.75
bmnccfcl-1,Cluster 1,0,42.61
ncabpdop-1,Cluster 1,0,28.20
ncaccamk-1,Cluster 3,0,40.33
ncaceiem-1,Cluster 3,0,43.00
ncbhjhhf-1,Cluster 5,0,39.04
ncbhkafc-1,Cluster 5,0,84.39
bmkclapa-1,Cluster 1,0,39.68
bmkepakp-1,Cluster 1,0,126.81
bmkfchne-1,Cluster 2,0,111.69
bmcppono-1,Cluster 1,0,30.46
ncacgjao-1,Cluster 1,0,33.69
bmdahpjc-1,Cluster 1,0,25.91
ncbkbkbj-1,Cluster 1,0,58.83
ncblkokb-1,Cluster 3,0,116.99
bogmbiha-1,Cluster 2,0,40.61
bogoibkf-1,Cluster 2,0,41.85
bogojfoc-1,Cluster 1,0,38.87
bogodind-1,Cluster 2,0,64.70
bogodabd-1,Cluster 2,0,45.66
blpfkjep-1,Cluster 2,0,76.90
