#Selection name: Tumor_Enriched_Region
#Area (µm^2): 4970421.02
Cell ID,Cluster,Transcripts,Area (µm^2)
ipelbobg-1,Cluster 3,0,16.22
iokamheb-1,Cluster 3,0,50.47
ipeknalj-1,Cluster 3,0,75.12
iojgdmlh-1,Cluster 1,0,55.95
iojgcaia-1,Cluster 3,0,117.98
iojfngmi-1,Cluster 7,0,29.18
iojfihom-1,Cluster 3,0,63.31
iokejiaa-1,Cluster 1,0,76.48
iokhhgod-1,Cluster 1,0,52.60
ipegbbgk-1,Cluster 1,0,48.88
iolckifd-1,Cluster 3,0,33.02
fnaagiec-1,Cluster 1,0,55.21
fmpogimp-1,Cluster 1,0,32.72
iokehjna-1,Cluster 1,0,89.07
ipefpoga-1,Cluster 3,0,45.65
fmpkcafo-1,Cluster 4,0,130.43
iokgpiaj-1,Cluster 3,0,55.14
iokeecfi-1,Cluster 3,0,36.01
iokfogdh-1,Cluster 1,0,48.26
ipefglco-1,Cluster 7,0,35.59
iojnfaoe-1,Cluster 5,0,79.16
iojpmang-1,Cluster 4,0,104.48
iokikbnl-1,Cluster 1,0,17.03
iokimnjp-1,Cluster 1,0,45.34
fnaakhih-1,Cluster 4,0,125.92
iokihddk-1,Cluster 4,0,60.81
iolegplj-1,Cluster 4,0,34.57
iojpgbca-1,Cluster 1,0,46.16
iokaagjp-1,Cluster 3,0,58.60
iojkdlkh-1,Cluster 3,0,53.07
iojlaboo-1,Cluster 5,0,49.17
iojkdmnb-1,Cluster 5,0,25.28
iojllcjc-1,Cluster 5,0,88.22
iojidmhi-1,Cluster 5,0,76.84
fnaanlhm-1,Cluster 4,0,110.74
fnaaljlh-1,Cluster 4,0,14.56
fncdjoho-1,Cluster 4,0,34.00
fncebmbg-1,Cluster 1,0,36.32
fnceekjc-1,Cluster 4,0,104.73
fnceeicd-1,Cluster 4,0,45.32
fmpnohbk-1,Cluster 4,0,64.35
iogedpmo-1,Cluster 1,0,22.10
iogekpoo-1,Cluster 1,0,82.05
iogedhkn-1,Cluster 7,0,99.79
iogeddhi-1,Cluster 4,0,73.91
iojlefle-1,Cluster 5,0,114.02
iojhecde-1,Cluster 1,0,34.77
fnbpjfne-1,Cluster 4,0,32.94
iogebobg-1,Cluster 4,0,61.35
fncdhcbn-1,Cluster 4,0,57.28
iogfjbnp-1,Cluster 4,0,116.50
iogeddlk-1,Cluster 4,0,104.52
fnchdfmp-1,Cluster 4,0,81.51
iojegapg-1,Cluster 7,0,39.60
iojbghfm-1,Cluster 5,0,120.74
iojbingm-1,Cluster 3,0,39.62
ingpjngn-1,Cluster 4,0,250.48
ijchmjnp-1,Cluster 3,0,47.34
akenieoi-1,Cluster 4,0,41.12
innolghj-1,Cluster 7,0,96.88
fnafnjoo-1,Cluster 4,0,25.54
aigonjja-1,Cluster 4,0,103.05
inonceeo-1,Cluster 7,0,54.02
aihpmodd-1,Cluster 4,0,61.42
inminhgi-1,Cluster 4,0,103.20
aihnngji-1,Cluster 4,0,147.56
inmikopl-1,Cluster 4,0,36.55
aihncmmh-1,Cluster 6,0,109.25
fnabjklh-1,Cluster 4,0,76.15
inmfopnp-1,Cluster 4,0,95.19
fnaflpdm-1,Cluster 4,0,70.75
inmgkjoc-1,Cluster 4,0,42.92
inlamlpo-1,Cluster 1,0,88.66
inmaadig-1,Cluster 4,0,118.01
inmidbaj-1,Cluster 4,0,51.62
inmgfdia-1,Cluster 4,0,120.49
innapjkd-1,Cluster 4,0,112.57
innalgdd-1,Cluster 4,0,112.16
inolinni-1,Cluster 5,0,150.38
inoepflj-1,Cluster 5,0,82.53
innahbif-1,Cluster 4,0,109.20
innmiknd-1,Cluster 4,0,84.80
inojmfkm-1,Cluster 5,0,86.67
inocponb-1,Cluster 4,0,61.08
inogboba-1,Cluster 4,0,67.91
aihmdcfe-1,Cluster 4,0,82.27
aihlahhg-1,Cluster 4,0,87.11
aihlkncj-1,Cluster 4,0,60.41
aiiadabk-1,Cluster 4,0,46.64
aihhdcda-1,Cluster 4,0,40.04
aihkegbe-1,Cluster 4,0,50.82
aihigjlk-1,Cluster 4,0,52.31
aihipkkp-1,Cluster 4,0,29.55
