#Selection name: Tumor_Free_Left
#Area (µm^2): 2387159.80
Cell ID,Cluster,Transcripts,Area (µm^2)
ibemaloe-1,Cluster 5,0,30.07
ibejapak-1,Cluster 5,0,50.22
ibeloohc-1,Cluster 3,0,23.05
ibclddkb-1,Cluster 1,0,14.37
ibfmagik-1,Cluster 3,0,41.30
ibfhfhjl-1,Cluster 5,0,48.99
ibokfcdo-1,Cluster 1,0,16.37
ibfihhja-1,Cluster 5,0,47.92
ibolecdb-1,Cluster 5,0,42.57
ibokegdj-1,Cluster 1,0,9.43
ibojjanh-1,Cluster 1,0,13.40
ogipaloh-1,Cluster 1,0,120.87
heiinagh-1,Cluster 3,0,12.33
heiiiajc-1,Cluster 7,0,43.18
ieiaggio-1,Cluster 1,0,118.29
ieikeioi-1,Cluster 1,0,74.84
ibphnefh-1,Cluster 3,0,65.84
ibpkmcko-1,Cluster 3,0,41.72
ibpikckm-1,Cluster 6,0,58.29
ieinkebn-1,Cluster 7,0,31.29
icaefhna-1,Cluster 7,0,28.97
ogjaglhb-1,Cluster 1,0,44.92
ibooggcp-1,Cluster 1,0,32.73
iejbbgoc-1,Cluster 1,0,29.29
ibomlghp-1,Cluster 1,0,72.94
ibfalfbi-1,Cluster 5,0,29.12
iboiakeb-1,Cluster 3,0,26.20
ibehopjb-1,Cluster 5,0,38.08
ibfheemg-1,Cluster 5,0,93.75
ibcikglj-1,Cluster 7,0,13.69
iboimebj-1,Cluster 5,0,18.00
ibeicbne-1,Cluster 5,0,49.57
icaaffkg-1,Cluster 1,0,21.74
iboihcmg-1,Cluster 3,0,31.91
ibohnbkp-1,Cluster 3,0,22.10
ibpofoci-1,Cluster 3,0,33.49
ibppafoh-1,Cluster 3,0,29.15
hedjjfia-1,Cluster 5,0,60.96
hddckojh-1,Cluster 6,0,62.48
hcpilong-1,Cluster 5,0,52.13
hcpgdndn-1,Cluster 5,0,32.50
ibdejfjb-1,Cluster 3,0,30.76
hplaoghi-1,Cluster 3,0,41.51
ibdaiknk-1,Cluster 7,0,35.49
hpplhkgj-1,Cluster 3,0,32.61
hpkpbmjn-1,Cluster 1,0,11.79
ogiaoieg-1,Unassigned,0,8.96
ibdepffd-1,Cluster 3,0,30.49
ibcmnaoo-1,Cluster 3,0,15.20
ibclimec-1,Cluster 3,0,16.06
ibdaakdk-1,Cluster 3,0,55.07
hddejaeb-1,Cluster 6,0,60.60
hebhacii-1,Cluster 6,0,52.28
hddpbpdl-1,Cluster 5,0,50.36
hddpefkn-1,Cluster 6,0,53.63
hddhpflh-1,Cluster 5,0,22.27
hddplbjk-1,Cluster 3,0,56.52
hddomfej-1,Cluster 3,0,39.02
hecpojil-1,Cluster 3,0,78.36
hebgpgfp-1,Cluster 7,0,22.26
hedhmnpk-1,Cluster 3,0,76.20
hddhgdam-1,Cluster 5,0,27.98
hediojoj-1,Cluster 5,0,65.12
hedhfmjj-1,Cluster 3,0,43.04
hddnbmbk-1,Cluster 3,0,45.27
hcpfnlcd-1,Cluster 3,0,39.54
hcpljhfg-1,Cluster 3,0,39.96
ibcnbdhb-1,Cluster 5,0,17.17
hppnlpml-1,Cluster 1,0,18.34
ibchilie-1,Cluster 5,0,28.68
ibddnbap-1,Cluster 3,0,26.85
ibcifghl-1,Cluster 7,0,15.50
hcodehdc-1,Cluster 1,0,29.12
hpjegian-1,Cluster 3,0,46.48
hcpmlndp-1,Cluster 3,0,20.11
hppkhllj-1,Cluster 3,0,49.49
ibdgckcc-1,Cluster 5,0,41.71
hcodbaop-1,Cluster 3,0,50.14
hcodikom-1,Cluster 3,0,35.84
hecoihpk-1,Cluster 7,0,52.38
hedigegc-1,Cluster 5,0,54.39
hediabhb-1,Cluster 3,0,43.53
hedibgdo-1,Cluster 5,0,40.55
hedkeaac-1,Cluster 5,0,113.96
hedkpljl-1,Cluster 5,0,99.88
hedillia-1,Cluster 5,0,43.44
hebekkmk-1,Cluster 5,0,113.70
hddnmngf-1,Cluster 5,0,65.23
hddnojon-1,Cluster 5,0,45.15
hddobfkl-1,Cluster 5,0,83.83
hcpippda-1,Cluster 7,0,24.17
hdpoglfk-1,Cluster 3,0,67.32
ieieaiih-1,Cluster 3,0,122.01
ieicjabk-1,Cluster 3,0,48.93
hdpkmcki-1,Cluster 3,0,35.10
ieidkppo-1,Cluster 3,0,49.70
icaopenm-1,Cluster 5,0,54.78
icdlnfej-1,Cluster 5,0,46.61
icenjhan-1,Cluster 5,0,28.69
ibonoflo-1,Cluster 5,0,44.72
adfnbhkn-1,Cluster 1,0,43.36
icemhean-1,Cluster 5,0,52.60
icdlidif-1,Cluster 5,0,102.08
icanojei-1,Cluster 1,0,40.55
icdilfcj-1,Cluster 1,0,38.96
iceeaeah-1,Cluster 1,0,58.10
icdnjale-1,Cluster 1,0,53.57
icefhafg-1,Cluster 5,0,28.68
icedlfmn-1,Cluster 5,0,149.61
adfnbjbl-1,Cluster 1,0,38.87
icekgdji-1,Cluster 5,0,71.96
ibopnlpl-1,Cluster 5,0,80.62
iceedjbb-1,Cluster 5,0,60.91
icefimja-1,Cluster 5,0,49.35
icefdcib-1,Cluster 5,0,50.81
icebaoee-1,Cluster 1,0,40.71
iceifnkn-1,Cluster 5,0,47.67
icbjjdob-1,Cluster 5,0,110.01
icbfkich-1,Cluster 5,0,141.59
icbleeng-1,Cluster 5,0,58.75
ibhnhpeo-1,Cluster 5,0,163.90
hjghmnbn-1,Cluster 3,0,42.79
hdabaljo-1,Cluster 3,0,27.18
hcpneooi-1,Cluster 5,0,28.27
iaplndpm-1,Cluster 1,0,18.02
icabcnem-1,Cluster 1,0,35.19
heijoihp-1,Cluster 3,0,38.41
ieigjekk-1,Cluster 1,0,67.23
icadkhcm-1,Cluster 1,0,21.03
ieiahcmb-1,Cluster 1,0,10.95
ibphmddm-1,Cluster 1,0,41.36
afeaeebo-1,Cluster 1,0,34.80
ieilmjdi-1,Cluster 3,0,32.86
ieimcmfc-1,Cluster 7,0,10.13
ibolkhkb-1,Cluster 3,0,44.35
iehlgjhg-1,Cluster 7,0,22.86
iehkdmgh-1,Cluster 1,0,57.42
icbdhjha-1,Cluster 1,0,15.45
