,geometry,objectType,name,color
36,"POLYGON ((16620.96 25510.5, 16314.57 25519.51, 16007.88 25528.89, 15700.78 25538.26, 15465.97 25545.18, 15393.31 25547.67, 15368.16 25548.53, 15384.23 25849.26, 15400.66 26149.98, 15417.1 26450.36, 15433.52 26750.42, 15435.05 26776.06, 15741.38 26765.95, 16047.79 26755.84, 16353.78 26746.09, 16659.4 26736, 16685.17 26735.44, 16669.11 26436.15, 16653.42 26136.53, 16637.74 25836.56, 16622.02 25536.23, 16620.96 25510.5))",annotation,plate4_9E,[102   0 102]
38,"POLYGON ((14063.52 29643.05, 13756.28 29654.54, 13448.64 29666.44, 13140.58 29677.96, 12905.09 29686.79, 12832.23 29689.89, 12807 29690.96, 12824.45 29988.66, 12842.33 30286.42, 12860.23 30583.82, 12878.04 30880.89, 12879.68 30906.66, 13186.95 30894.04, 13494.23 30881.41, 13801.14 30868.81, 14107.67 30856.25, 14133.51 30855.45, 14116.04 30559.14, 14098.97 30262.49, 14081.81 29965.49, 14064.71 29668.15, 14063.52 29643.05))",annotation,plate4_5H,[102   0 102]
39,"POLYGON ((8624.74 52203.13, 8323.16 52227.68, 8021.28 52252.64, 7719.08 52277.6, 7487.56 52296.46, 7416.45 52302.59, 7391.31 52304.77, 7411.65 52581.29, 7432 52857.88, 7452.32 53134.17, 7472.62 53410.15, 7474.48 53434.1, 7775.99 53408.5, 8077.52 53382.91, 8378.71 53357.37, 8679.5 53331.83, 8704.48 53329.97, 8684.94 53054.65, 8665.35 52778.98, 8645.76 52503.04, 8626.1 52226.79, 8624.74 52203.13))",annotation,plate4_8B,[255 255 255]
42,"POLYGON ((7524.15 36694.03, 7212.61 36709.88, 6900.74 36726.09, 6588.42 36742.31, 6349.27 36754.49, 6275.79 36758.57, 6249.82 36760.01, 6271.04 37053.99, 6292.63 37347.96, 6314.23 37641.59, 6335.77 37934.91, 6337.74 37960.36, 6649.29 37943.43, 6960.8 37926.49, 7271.98 37909.56, 7582.76 37892.67, 7608.97 37891.55, 7588.13 37598.95, 7567.35 37306.04, 7546.5 37012.77, 7525.67 36719.18, 7524.15 36694.03))",annotation,plate4_5G,[102   0 102]
43,"POLYGON ((15042.02 46647.02, 14745.26 46668.22, 14448.23 46689.78, 14150.78 46711.38, 13923.41 46727.63, 13853.02 46732.99, 13828.7 46734.86, 13845.05 47013.55, 13861.76 47292.26, 13878.48 47570.68, 13895.15 47848.77, 13896.7 47872.55, 14193.41 47850.33, 14490.14 47828.1, 14786.53 47805.93, 15082.56 47783.73, 15107.52 47782.14, 15091.15 47504.72, 15075.13 47226.94, 15059.1 46948.9, 15043.08 46670.54, 15042.02 46647.02))",annotation,plate4_11G,[102   0 102]
46,"POLYGON ((7988.26 43238.5, 7680.94 43258.07, 7373.3 43278.05, 7065.23 43298.04, 6829.73 43313.07, 6756.82 43318.05, 6731.63 43319.77, 6752.28 43606.35, 6773.36 43892.92, 6794.41 44179.16, 6815.41 44465.1, 6817.34 44489.53, 7124.63 44468.89, 7431.94 44448.23, 7738.88 44427.59, 8045.46 44406.99, 8071.31 44405.53, 8050.61 44120.31, 8030.34 43834.75, 8010.02 43548.86, 7989.71 43262.64, 7988.26 43238.5))",annotation,plate4_9G,[255 255 255]
47,"POLYGON ((17245.72 37468.12, 16946.63 37484.08, 16647.24 37500.41, 16347.52 37516.76, 16118.29 37529.02, 16047.37 37533.14, 16022.86 37534.58, 16038.16 37821.8, 16053.89 38109.07, 16069.59 38396, 16085.28 38682.6, 16086.74 38707.48, 16385.78 38690.46, 16684.84 38673.45, 16983.55 38656.44, 17281.87 38639.45, 17307.02 38638.32, 17291.7 38352.4, 17276.71 38066.15, 17261.74 37779.57, 17246.68 37492.72, 17245.72 37468.12))",annotation,plate4_11D,[102   0 102]
48,"POLYGON ((27398.06 22500.38, 27103.33 22507.4, 26808.26 22514.82, 26512.84 22522.23, 26286.95 22527.63, 26217.05 22529.67, 26192.86 22530.36, 26202.61 22827.69, 26212.73 23125.09, 26222.82 23422.11, 26232.92 23718.83, 26233.91 23744.19, 26528.62 23736.08, 26823.41 23727.95, 27117.78 23719.82, 27411.86 23711.71, 27436.61 23711.31, 27426.83 23415.34, 27417.41 23119.06, 27408.01 22822.4, 27398.57 22525.44, 27398.06 22500.38))",annotation,plate4_1A,[102   0 102]
49,"POLYGON ((23497.57 25302.33, 23199.61 25311.06, 22901.27 25320.19, 22602.53 25328.94, 22373.79 25335.68, 22303.5 25338.1, 22278.66 25338.94, 22290.98 25635.62, 22303.34 25932.33, 22315.68 26228.7, 22328.01 26524.76, 22329.17 26550.45, 22627.16 26540.59, 22925.17 26530.75, 23222.83 26520.91, 23520.12 26511.1, 23544.8 26510.56, 23533.19 26215.25, 23521.56 25919.61, 23509.92 25623.65, 23498.29 25327.32, 23497.57 25302.33))",annotation,plate4_2D,[102   0 102]
50,"POLYGON ((12498.89 49368.36, 12200.54 49391.18, 11901.89 49414.38, 11602.83 49437.58, 11373.83 49455.12, 11303.47 49460.83, 11278.6 49462.85, 11296.71 49740.11, 11314.86 50017.45, 11332.99 50294.46, 11351.06 50571.16, 11352.74 50594.82, 11651.06 50570.99, 11949.41 50547.16, 12247.43 50523.69, 12545.07 50499.91, 12569.79 50498.2, 12552.39 50222.12, 12534.98 49945.77, 12517.55 49669.07, 12500.13 49392.1, 12498.89 49368.36))",annotation,plate4_7F,[255 255 255]
52,"POLYGON ((10065.36 32508.58, 9754.64 32521.87, 9443.59 32535.55, 9132.2 32549.26, 8893.64 32559.48, 8820.36 32562.97, 8794.46 32564.22, 8814.68 32861.2, 8834.9 33158.22, 8855.1 33454.91, 8875.27 33751.27, 8877.12 33776.99, 9187.79 33762.57, 9498.47 33748.14, 9808.78 33733.77, 10118.67 33719.38, 10144.4 33718.46, 10125.03 33422.87, 10105.61 33126.89, 10086.19 32830.61, 10066.72 32533.98, 10065.36 32508.58))",annotation,plate4_10B,[102   0 102]
53,"POLYGON ((14249.25 55424.7, 13956.38 55450.7, 13663.18 55477.08, 13369.64 55503.49, 13145.2 55523.45, 13075.76 55529.94, 13051.72 55532.19, 13068.26 55802.06, 13085.18 56071.95, 13102.08 56341.55, 13118.92 56610.86, 13120.46 56633.88, 13413.3 56606.9, 13706.18 56579.89, 13998.77 56553.28, 14290.94 56526.34, 14315.58 56524.35, 14299.04 56255.67, 14282.83 55986.67, 14266.6 55717.38, 14250.36 55447.82, 14249.25 55424.7))",annotation,plate4_5E,[255 255   0]
54,"POLYGON ((8985.61 37916.79, 8676.54 37933.29, 8367.19 37950.16, 8057.36 37966.7, 7820.11 37979.37, 7747.22 37983.61, 7721.49 37985.1, 7742.17 38276.82, 7762.81 38568.57, 7783.47 38860, 7804.06 39151.09, 7805.95 39176.35, 8115 39158.75, 8423.99 39141.19, 8732.68 39123.62, 9040.96 39106.06, 9066.53 39104.91, 9046.69 38814.5, 9026.81 38523.79, 9006.89 38232.76, 8986.99 37941.38, 8985.61 37916.79))",annotation,plate4_5G,[102   0 102]
55,"POLYGON ((17715.45 46453.53, 17421.87 46474.5, 17127.97 46495.82, 16833.73 46517.2, 16608.4 46533.32, 16539.17 46538.6, 16514.7 46540.46, 16529.84 46817.75, 16545.02 47095.07, 16560.16 47372.11, 16575.3 47648.82, 16576.72 47672.49, 16870.28 47650.5, 17163.86 47628.52, 17457.09 47606.91, 17750.01 47584.97, 17774.33 47583.42, 17759.84 47307.33, 17745.4 47030.95, 17730.91 46754.27, 17716.4 46477.27, 17715.45 46453.53))",annotation,plate4_11F,[102   0 102]
56,"POLYGON ((17583.19 43927.74, 17288.04 43947.32, 16992.63 43967.25, 16696.84 43987.25, 16470.67 44002.27, 16400.66 44007.25, 16376.47 44008.97, 16391.42 44289.05, 16406.72 44569.15, 16422.04 44848.96, 16437.34 45128.44, 16438.74 45152.35, 16733.83 45131.72, 17028.96 45111.12, 17323.73 45090.55, 17618.16 45069.98, 17642.98 45068.51, 17628.01 44789.71, 17613.39 44510.56, 17598.79 44231.12, 17584.14 43951.36, 17583.19 43927.74))",annotation,plate4_5F,[102   0 102]
57,"POLYGON ((10756.76 43059.46, 10452.77 43078.82, 10148.45 43098.57, 9843.76 43118.35, 9610.43 43133.22, 9538.7 43138.13, 9513.36 43139.88, 9532.77 43424.95, 9552.18 43710.05, 9571.54 43994.86, 9590.91 44279.34, 9592.72 44304.02, 9896.64 44283.59, 10200.65 44263.14, 10504.24 44242.76, 10807.52 44222.36, 10832.7 44220.95, 10814.04 43937.16, 10795.39 43653.02, 10776.75 43368.6, 10758.06 43083.84, 10756.76 43059.46))",annotation,plate4_12D,[102   0 102]
