cell_id,Tile,Clone
fobjleco-1,0_plate4_7B_,255_255_255
fobkango-1,0_plate4_7B_,255_255_255
fobkelek-1,0_plate4_7B_,255_255_255
fobkfjfm-1,0_plate4_7B_,255_255_255
fobkncmo-1,0_plate4_7B_,255_255_255
fobleefe-1,0_plate4_7B_,255_255_255
foblghbj-1,0_plate4_7B_,255_255_255
fobljnig-1,0_plate4_7B_,255_255_255
foblpiia-1,0_plate4_7B_,255_255_255
fobmglab-1,0_plate4_7B_,255_255_255
fobmhckk-1,0_plate4_7B_,255_255_255
fobmpdpa-1,0_plate4_7B_,255_255_255
fobmplid-1,0_plate4_7B_,255_255_255
fobnanhp-1,0_plate4_7B_,255_255_255
fobnbglo-1,0_plate4_7B_,255_255_255
fobngnjb-1,0_plate4_7B_,255_255_255
fobnlcem-1,0_plate4_7B_,255_255_255
fobochpk-1,0_plate4_7B_,255_255_255
fobodocb-1,0_plate4_7B_,255_255_255
fobofinb-1,0_plate4_7B_,255_255_255
foboleeg-1,0_plate4_7B_,255_255_255
fobomcae-1,0_plate4_7B_,255_255_255
fobonenp-1,0_plate4_7B_,255_255_255
foehmccp-1,0_plate4_7B_,255_255_255
foeiinlg-1,0_plate4_7B_,255_255_255
foeijpkk-1,0_plate4_7B_,255_255_255
foeillde-1,0_plate4_7B_,255_255_255
foejdjmg-1,0_plate4_7B_,255_255_255
foejebkp-1,0_plate4_7B_,255_255_255
foejibml-1,0_plate4_7B_,255_255_255
foejjndb-1,0_plate4_7B_,255_255_255
fohdpibc-1,0_plate4_7B_,255_255_255
fohegedh-1,0_plate4_7B_,255_255_255
fohjkmcg-1,0_plate4_7B_,255_255_255
fpaeflof-1,0_plate4_7B_,255_255_255
fpaekphg-1,0_plate4_7B_,255_255_255
galpgmph-1,0_plate4_7B_,255_255_255
galpjggf-1,0_plate4_7B_,255_255_255
gamoafla-1,0_plate4_7B_,255_255_255
gamohcoi-1,0_plate4_7B_,255_255_255
gamolgof-1,0_plate4_7B_,255_255_255
gamoodkk-1,0_plate4_7B_,255_255_255
gampgefd-1,0_plate4_7B_,255_255_255
gampggpc-1,0_plate4_7B_,255_255_255
gampjhjf-1,0_plate4_7B_,255_255_255
gampmegp-1,0_plate4_7B_,255_255_255
gampnfao-1,0_plate4_7B_,255_255_255
ganachch-1,0_plate4_7B_,255_255_255
ganadflb-1,0_plate4_7B_,255_255_255
ganaggfa-1,0_plate4_7B_,255_255_255
ganapmnf-1,0_plate4_7B_,255_255_255
ganbapkc-1,0_plate4_7B_,255_255_255
ganbgbep-1,0_plate4_7B_,255_255_255
ganbgmbh-1,0_plate4_7B_,255_255_255
ganbojib-1,0_plate4_7B_,255_255_255
ganbpgfg-1,0_plate4_7B_,255_255_255
gancacbk-1,0_plate4_7B_,255_255_255
ganccgob-1,0_plate4_7B_,255_255_255
gancdlhc-1,0_plate4_7B_,255_255_255
